Date,Day,month,Time,Timestamp,waterlvl_ijmuiden_cm,tide_direction,tide_bool,DOY,Observer name,Location [bridge name],Bridge width (m),Segment_width,Bridge_ID,segment_ID,Duration [min],Sunlight (hrs),Rainfall (mm),Rainfall Length (hr),Wind speed average (m/s),Windspeed max per hour / max wind gusts (m/s),Wind direction (°),Wind direction,PETf,PSf,EPSf,PO Hardf,PO Softf,MLf,Otherf,PET,PS,EPS,PO Hard,PO Soft,ML,Other,Total counted,Item flux [n/min],itemflux_plastic,Item flux [n/hour],Items/hour/m,,Day of the Week,Tourist numbers estimated for lockdown periods,Tourist numbers after covid,Comments,,,,
23-Feb-21,3,1,,,,,,54,Nona,Geldersekade,7,7,4,1,15,4.8,0,0,5.7,9,191,S,0,0,0,0,4,4,8,0,0,0,0,1,1,2,4,0.266666667,8,16,2.285714286,,Tuesday,78,78,,,,total hrs spent staring at water,37.08333333
23-Feb-21,3,1,,,,,,54,Nona,Oudezijdskolkbrug,4,4,5,1,15,4.8,0,0,5.7,9,191,S,0,4,0,0,20,16,28,0,1,0,0,5,4,7,17,1.133333333,40,68,17,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,Piet Heinkade A,16.67,5.556666667,6,1,15,4.8,0,0,5.7,9,191,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,Piet Heinkade B,16.67,5.556666667,6,2,15,4.8,0,0,5.7,9,191,S,0,0,0,0,4,4,20,0,0,0,0,1,1,5,7,0.466666667,8,28,5.038992202,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,Piet Heinkade C,16.67,5.556666667,6,3,15,4.8,0,0,5.7,9,191,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,GBB A,15.67,5.223333333,2,1,15,4.8,0,0,5.7,9,191,S,0,0,0,0,8,0,4,0,0,0,0,2,0,1,3,0.2,8,12,2.297383535,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,GBB B,15.67,5.223333333,2,2,15,4.8,0,0,5.7,9,191,S,0,0,0,0,4,0,4,0,0,0,0,1,0,1,2,0.133333333,4,8,1.531589024,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,GBB C,15.67,5.223333333,2,3,15,4.8,0,0,5.7,9,191,S,0,0,0,0,12,0,24,0,0,0,0,3,0,6,9,0.6,12,36,6.892150606,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,Westerkanaal,14,14,1,1,15,4.8,0,0,5.7,9,191,S,4,4,0,0,96,20,24,1,1,0,0,24,5,6,37,2.466666667,124,148,10.57142857,,Tuesday,78,78,,,,,
23-Feb-21,3,1,,,,,,54,Nona,Westertoegang A,14,7,3,1,15,4.8,0,0,5.7,9,191,S,0,0,0,0,8,0,20,0,0,0,0,2,0,5,7,0.466666667,8,28,4,,Tuesday,78,78,,,,,
